word,word_label,relation,word2,word2_label
Q1172540,data stream,P279,Q20937557,sequence
Q956238,interactive computing,P279,Q7397,software
Q420,biology,P527,Q514,anatomy
Q166142,application,P279,Q7397,software
Q124815680,movement data,P279,Q42848,data
Q2285707,categorical variable,P279,Q42848,data
Q26813700,structured data,P1552,Q6671777,structure
Q26813700,structured data,P279,Q42848,data
Q33002955,knowledge graph,P279,Q593744,knowledge base
Q2178623,spatial relation,P1552,Q121769,reference
Q179965,electroencephalography,P279,Q551875,neuroimaging
Q20514253,blockchain,P279,Q8513,database
Q186885,timestamp,P279,Q180160,metadata
Q514,anatomy,P279,Q420,biology
Q660910,neurophysiology,P361,Q521,physiology
Q864574,biomarker,P361,Q420,biology
Q7662746,synthetic data,P279,Q45045,simulation
Q514,anatomy,P361,Q420,biology
Q170519,virtual reality,P1889,Q55950686,virtual environment
Q180160,metadata,P2670,Q186885,timestamp
Q7162,genetics,P279,Q420,biology
Q868299,control flow,P279,Q6671777,structure
Q55950686,virtual environment,P1889,Q170519,virtual reality
Q26939,epigenetics,P361,Q7162,genetics
Q1172540,data stream,P527,Q42848,data
Q857525,annotation,P279,Q180160,metadata
Q7162,genetics,P361,Q420,biology
Q222046,genomics,P279,Q7162,genetics
Q7662746,synthetic data,P279,Q42848,data
Q1643805,container,P279,Q42848,data
Q180160,metadata,P279,Q42848,data
Q193139,trajectory,P1269,Q79782,motion
Q26939,epigenetics,P279,Q7162,genetics
Q44337,matrix,P279,Q186152,array data structure
Q500256,chemical structure,P279,Q6671777,structure
Q660910,neurophysiology,P279,Q521,physiology
Q79782,motion,P1552,Q193139,trajectory
Q37732,demography,P279,Q1071,geography
Q722218,label,P279,Q49848,document
Q55631277,Real world data,P279,Q42848,data
Q123349905,geolocation,P31,Q1914636,activity
Q45045,simulation,P361,Q413,physics
Q420,biology,P527,Q7162,genetics
Q521,physiology,P279,Q420,biology
Q8366,algorithm,P279,Q7397,software
Q285459,pcap,P31,Q165194,application programming interface
Q593744,knowledge base,P279,Q8513,database
Q124815680,movement data,P1269,Q79782,motion
Q384188,magnetoencephalography,P279,Q551875,neuroimaging
Q8054,protein,P1552,Q735188,protein structure
Q170519,virtual reality,P279,Q45045,simulation
Q857525,annotation,P1382,Q234460,text
Q8513,database,P527,Q42848,data
